time/time_elapsed,time/fps,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/actor_loss
0,1209,17,4,,,,,,,,
0,1541,37,8,,,,,,,,
0,1885,66,12,,,,,,,,
0,2084,94,16,,,,,,,,
,,100,,6.2,-3.8547778999999998,,,,,,
0,702,122,20,,,,,,,,
0,790,146,24,,,,,,,,
0,872,175,28,,,,,,,,
0,944,199,32,,,,,,,,
,,200,,6.6,-3.5388408,,,,,,
0,711,223,36,,,,,,,,
0,741,239,40,,,,,,,,
0,788,262,44,,,,,,,,
0,859,296,48,,,,,,,,
,,300,,7.4,-4.655179199999999,,,,,,
0,754,319,52,,,,,,,,
0,800,348,56,,,,,,,,
0,815,360,60,,,,,,,,
0,854,387,64,,,,,,,,
,,400,,7.7,-5.121999100000001,,,,,,
0,767,407,68,,,,,,,,
0,799,432,72,,,,,,,,
0,838,464,76,,,,,,,,
0,863,486,80,,,,,,,,
,,500,,8.2,-4.7587519,,,,,,
0,783,520,84,,,,,,,,
0,801,539,88,,,,,,,,
0,815,557,92,,,,,,,,
0,846,588,96,,,,,,,,
,,600,,7.5,-4.5702495999999995,,,,,,
0,790,615,100,,,,,,,,
0,823,651,104,,,,,,,,
0,850,684,108,,,,,,,,
,,700,,8.2,-5.824754499999999,,,,,,
0,804,717,112,,,,,,,,
0,833,752,116,,,,,,,,
0,854,782,120,,,,,,,,
,,800,,8.2,-5.354189799999999,,,,,,
0,813,812,124,,,,,,,,
1,833,845,128,,,,,,,,
1,845,864,132,,,,,,,,
1,863,892,136,,,,,,,,
,,900,,6.6,-4.894129800000001,,,,,,
1,829,918,140,,,,,,,,
1,839,936,144,,,,,,,,
1,855,964,148,,,,,,,,
1,872,993,152,,,,,,,,
,,1000,,8.0,-5.390967699999999,,,,,,
1,829,1011,156,,,,,,,,
1,836,1027,160,,,,,,,,
1,852,1056,164,,,,,,,,
1,867,1085,168,,,,,,,,
,,1100,,8.2,-5.5562042,,,,,,
1,830,1110,172,,,,,,,,
1,836,1125,176,,,,,,,,
1,843,1141,180,,,,,,,,
1,854,1165,184,,,,,,,,
1,859,1180,188,,,,,,,,
,,1200,,7.4,-3.8960822,,,,,,
1,834,1210,192,,,,,,,,
1,844,1235,196,,,,,,,,
1,853,1263,200,,,,,,,,
1,862,1284,204,,,,,,,,
,,1300,,8.2,-6.5340365999999985,,,,,,
1,831,1314,208,,,,,,,,
1,844,1345,212,,,,,,,,
1,853,1368,216,,,,,,,,
1,856,1379,220,,,,,,,,
,,1400,,7.4,-4.257902800000001,,,,,,
1,835,1415,224,,,,,,,,
1,848,1449,228,,,,,,,,
1,860,1480,232,,,,,,,,
,,1500,,6.7,-4.2378124,,,,,,
1,834,1502,236,,,,,,,,
1,843,1525,240,,,,,,,,
1,851,1549,244,,,,,,,,
1,862,1578,248,,,,,,,,
,,1600,,8.2,-5.157363699999999,,,,,,
1,837,1614,252,,,,,,,,
1,841,1631,256,,,,,,,,
1,849,1654,260,,,,,,,,
1,856,1677,264,,,,,,,,
,,1700,,9.0,-6.8162325,,,,,,
2,837,1713,268,,,,,,,,
2,846,1743,272,,,,,,,,
2,851,1761,276,,,,,,,,
2,859,1787,280,,,,,,,,
,,1800,,7.4,-5.3730407,,,,,,
2,842,1816,284,,,,,,,,
2,851,1847,288,,,,,,,,
2,861,1879,292,,,,,,,,
,,1900,,8.2,-5.4821377,,,,,,
2,843,1910,296,,,,,,,,
2,847,1927,300,,,,,,,,
2,856,1958,304,,,,,,,,
2,867,1994,308,,,,,,,,
,,2000,,8.0,-4.5056098,,,,,,
2,845,2013,312,,,,,,,,
2,849,2029,316,,,,,,,,
2,858,2061,320,,,,,,,,
2,862,2078,324,,,,,,,,
,,2100,,7.2,-3.8498849,,,,,,
2,847,2114,328,,,,,,,,
2,852,2135,332,,,,,,,,
2,853,2144,336,,,,,,,,
2,861,2175,340,,,,,,,,
2,868,2199,344,,,,,,,,
,,2200,,8.2,-4.661198499999999,,,,,,
2,850,2227,348,,,,,,,,
2,856,2250,352,,,,,,,,
2,863,2278,356,,,,,,,,
,,2300,,8.2,-4.345851,,,,,,
2,844,2303,360,,,,,,,,
2,849,2326,364,,,,,,,,
2,855,2350,368,,,,,,,,
2,861,2375,372,,,,,,,,
2,866,2396,376,,,,,,,,
,,2400,,6.6,-3.5814637000000005,,,,,,
2,854,2432,380,,,,,,,,
2,860,2457,384,,,,,,,,
2,867,2487,388,,,,,,,,
,,2500,,6.4,-4.0097901,,,,,,
2,856,2517,392,,,,,,,,
2,862,2544,396,,,,,,,,
2,867,2569,400,,,,,,,,
2,873,2594,404,,,,,,,,
,,2600,,8.2,-5.7193556999999995,,,,,,
3,855,2608,408,,,,,,,,
3,859,2629,412,,,,,,,,
3,865,2655,416,,,,,,,,
3,869,2679,420,,,,,,,,
,,2700,,8.3,-5.5764445,,,,,,
3,854,2700,424,,,,,,,,
3,857,2717,428,,,,,,,,
3,862,2746,432,,,,,,,,
3,868,2771,436,,,,,,,,
,,2800,,8.2,-5.218242999999999,,,,,,
3,855,2801,440,,,,,,,,
3,859,2820,444,,,,,,,,
3,864,2847,448,,,,,,,,
3,871,2883,452,,,,,,,,
,,2900,,6.1,-2.8361057,,,,,,
3,860,2909,456,,,,,,,,
3,864,2932,460,,,,,,,,
3,868,2953,464,,,,,,,,
3,873,2982,468,,,,,,,,
,,3000,,7.4,-5.0121177,,,,,,
3,829,3005,472,,,11.989969253540039,-0.0022167526185512543,4,0.9997009634971619,9.969854320719498e-05,-4.3924078941345215
3,787,3025,476,,,12.51537799835205,-0.017638567835092545,24,0.9977040886878967,9.969653921964912e-05,-4.771720886230469
4,739,3050,480,,,13.996224403381348,-0.03911586105823517,49,0.9951826333999634,9.969403429186199e-05,-5.448807716369629
4,705,3072,484,,,19.474515914916992,-0.06401629745960236,71,0.9928975701332092,9.969183000747137e-05,-6.879711151123047
,,3100,,6.8,-4.6625469,29.554973602294922,-0.11940230429172516,99,0.9897357225418091,9.9689024625099e-05,-11.067136764526367
4,657,3100,488,,,,,,,,
5,622,3131,492,,,23.772918701171875,-0.1865992248058319,130,0.9857990741729736,9.96859187581295e-05,-16.21975326538086
5,587,3164,496,,,17.55512809753418,-0.24468475580215454,163,0.9816523790359497,9.968261261897653e-05,-17.544025421142578
5,570,3183,500,,,16.921295166015625,-0.2752285897731781,182,0.9793724417686462,9.968070913405312e-05,-17.963031768798828
,,3200,,9.0,-7.231489999999999,15.226146697998047,-0.304757684469223,199,0.9773863554000854,9.967900604677393e-05,-18.54257583618164
5,541,3212,504,,,16.60696792602539,-0.3222588896751404,211,0.9760096073150635,9.967780388503723e-05,-18.54757308959961
6,520,3241,508,,,15.318625450134277,-0.37016618251800537,240,0.9727519750595093,9.967489872069644e-05,-19.476917266845703
6,499,3277,512,,,15.970843315124512,-0.4179072976112366,276,0.9688097834587097,9.967129242758695e-05,-19.663543701171875
,,3300,,8.2,-5.9562398000000005,14.150007247924805,-0.45018985867500305,299,0.9663441181182861,9.9668988475299e-05,-20.28545379638672
6,477,3307,516,,,14.979740142822266,-0.46433699131011963,306,0.965599775314331,9.96682872829997e-05,-20.385425567626953
7,462,3339,520,,,17.891887664794922,-0.5087337493896484,338,0.9622288942337036,9.966508189530869e-05,-21.096940994262695
7,447,3375,524,,,17.25293731689453,-0.5661273002624512,374,0.9584875106811523,9.966147595737739e-05,-21.81269073486328
,,3400,,8.2,-5.296747699999999,20.54851531982422,-0.595575213432312,399,0.9559224843978882,9.965897191057309e-05,-22.152694702148438
7,431,3403,528,,,19.49877166748047,-0.6036826968193054,402,0.955616295337677,9.965867142918452e-05,-22.504261016845703
8,418,3439,532,,,22.84804916381836,-0.6537886261940002,438,0.9519637227058411,9.965506572318744e-05,-23.355749130249023
8,406,3475,536,,,19.96923828125,-0.7014620304107666,474,0.9483498334884644,9.96514601476468e-05,-24.050487518310547
,,3500,,8.2,-5.9527293,28.084102630615234,-0.7411074042320251,499,0.9458613991737366,9.964895635249498e-05,-24.722370147705078
8,392,3511,540,,,22.270523071289062,-0.7584072351455688,510,0.9447702765464783,9.964785470255789e-05,-25.006942749023438
9,382,3547,544,,,25.663219451904297,-0.8066018223762512,546,0.9412206411361694,9.964424938791597e-05,-25.769424438476562
9,372,3583,548,,,26.72882843017578,-0.8523184061050415,582,0.9376988410949707,9.964064420371633e-05,-26.47056770324707
,,3600,,9.0,-5.8244176,28.133121490478516,-0.8744871616363525,599,0.9360458850860596,9.96389418009635e-05,-26.473953247070312
9,364,3603,552,,,34.77821350097656,-0.8851052522659302,602,0.9357547163963318,9.963864137996763e-05,-26.391494750976562
10,359,3623,556,,,26.968109130859375,-0.9072713851928711,622,0.9338151812553406,9.963663859647664e-05,-27.13526725769043
10,352,3652,560,,,34.47113800048828,-0.9469599723815918,651,0.9310190081596375,9.963373463192078e-05,-28.063617706298828
10,344,3688,564,,,35.876708984375,-0.9931653738021851,687,0.9275669455528259,9.963012982815085e-05,-27.937807083129883
,,3700,,8.2,-5.666470599999999,36.78551483154297,-1.0082744359970093,699,0.9264220595359802,9.962892825587751e-05,-29.147911071777344
11,335,3724,568,,,35.50469207763672,-1.051008701324463,723,0.9241392016410828,9.962652515480472e-05,-29.200292587280273
11,327,3760,572,,,35.85179138183594,-1.0931274890899658,759,0.9207290410995483,9.962292061187767e-05,-29.941558837890625
11,319,3796,576,,,46.437103271484375,-1.1423285007476807,795,0.9173381328582764,9.961931619936499e-05,-31.16827392578125
,,3800,,9.0,-6.4520290000000005,46.68597412109375,-1.1509807109832764,799,0.9169626832008362,9.961891571713586e-05,-31.22626495361328
12,309,3832,580,,,44.24015808105469,-1.1899173259735107,831,0.9139680862426758,9.961571191726195e-05,-31.69943618774414
12,304,3861,584,,,45.09912109375,-1.2350842952728271,860,0.9112647771835327,9.961280856262563e-05,-31.89741325378418
13,297,3897,588,,,40.58800506591797,-1.271838665008545,896,0.907924234867096,9.96092045159725e-05,-32.34601593017578
,,3900,,9.0,-6.5898978,45.748939514160156,-1.2939143180847168,899,0.9076467752456665,9.960890418463741e-05,-32.78291320800781
13,290,3933,592,,,59.71098709106445,-1.327133297920227,932,0.9046005606651306,9.960560059971576e-05,-33.0890007019043
13,286,3961,596,,,56.06804275512695,-1.3624329566955566,960,0.9020276069641113,9.960279764388589e-05,-33.391483306884766
14,282,3989,600,,,57.32612991333008,-1.4111080169677734,988,0.8994672894477844,9.959999476693272e-05,-34.68696594238281
,,4000,,9.0,-7.593646,63.40485763549805,-1.4210612773895264,999,0.8984638452529907,9.959889365828106e-05,-33.7988166809082
14,277,4017,604,,,57.642601013183594,-1.4350769519805908,1016,0.89691561460495,9.959719196885404e-05,-34.17406463623047
14,272,4053,608,,,70.32147216796875,-1.4890646934509277,1052,0.8936476707458496,9.959358848721792e-05,-34.77011489868164
15,268,4089,612,,,50.90837097167969,-1.5390090942382812,1088,0.8903959393501282,9.958998513595777e-05,-34.86030960083008
,,4100,,8.2,-6.0747286,65.76688385009766,-1.543208122253418,1099,0.8894051909446716,9.958888413796565e-05,-35.759300231933594
15,262,4125,616,,,49.12641525268555,-1.594088077545166,1124,0.8871588110923767,9.958638191506886e-05,-35.802677154541016
16,258,4161,620,,,75.7327880859375,-1.6436141729354858,1160,0.8839324712753296,9.958277882454649e-05,-35.41064453125
16,255,4189,624,,,58.894935607910156,-1.6785180568695068,1188,0.881434977054596,9.957997651093379e-05,-37.180419921875
,,4200,,8.2,-6.2506057,58.700401306152344,-1.6962565183639526,1199,0.8804565668106079,9.957887562359012e-05,-36.0626335144043
16,251,4217,628,,,66.8544921875,-1.701711654663086,1216,0.8789477944374084,9.957717427617972e-05,-37.818965911865234
17,248,4253,632,,,61.52080154418945,-1.7575117349624634,1252,0.8757603764533997,9.957357151879483e-05,-36.35371398925781
17,246,4273,636,,,84.674560546875,-1.7755846977233887,1272,0.8739960789680481,9.95715700432386e-05,-37.747413635253906
,,4300,,9.0,-5.720492299999999,81.99480438232422,-1.814449667930603,1299,0.871620237827301,9.956886811505333e-05,-37.7578125
17,242,4301,640,,,63.88276290893555,-1.828518271446228,1300,0.8715323805809021,9.956876804504711e-05,-37.09162902832031
18,239,4337,644,,,77.35493469238281,-1.8657852411270142,1336,0.8683767914772034,9.956516559180432e-05,-39.076480865478516
18,237,4373,648,,,78.35566711425781,-1.9197087287902832,1372,0.8652336001396179,9.956156326890029e-05,-38.53924560546875
,,4400,,8.2,-5.909757600000001,100.02920532226562,-1.9706501960754395,1399,0.8628847002983093,9.955886161225424e-05,-38.689422607421875
18,233,4409,652,,,79.73355102539062,-1.9605605602264404,1408,0.8621036410331726,9.955796107633029e-05,-38.856292724609375
19,231,4445,656,,,77.6944808959961,-2.011324882507324,1444,0.8589871525764465,9.955435901408963e-05,-38.86273193359375
19,228,4473,660,,,62.2580680847168,-2.0511860847473145,1472,0.8565730452537537,9.955155750022587e-05,-38.024593353271484
,,4500,,8.2,-5.7120641,86.11656188964844,-2.081388473510742,1499,0.8542519211769104,9.954885611509173e-05,-40.05430603027344
20,224,4509,664,,,51.21358108520508,-2.0938754081726074,1508,0.8534804582595825,9.954795566967014e-05,-38.90981674194336
20,222,4545,668,,,67.4024887084961,-2.1520683765411377,1544,0.8504036068916321,9.954435396943062e-05,-38.799232482910156
20,220,4581,672,,,59.153499603271484,-2.218940496444702,1580,0.8473359942436218,9.954075239950263e-05,-40.269927978515625
,,4600,,8.2,-5.5868454,60.40275573730469,-2.2082056999206543,1599,0.8457217216491699,9.953885162346478e-05,-38.80823516845703
21,217,4617,676,,,109.18655395507812,-2.2392449378967285,1616,0.8442826867103577,9.953715095988144e-05,-40.148502349853516
21,215,4653,680,,,77.87068176269531,-2.299990653991699,1652,0.841240644454956,9.953354965056231e-05,-40.3519172668457
21,213,4681,684,,,86.65658569335938,-2.3313374519348145,1680,0.8388808965682983,9.953074872228539e-05,-38.71529769897461
,,4700,,9.0,-6.9013969,81.26324462890625,-2.3719139099121094,1699,0.8372842073440552,9.95288481372723e-05,-38.98568344116211
22,211,4709,688,,,76.42208862304688,-2.345484733581543,1708,0.8365281224250793,9.952794787282809e-05,-39.12507247924805
22,208,4745,692,,,102.69538879394531,-2.414527177810669,1744,0.8335153460502625,9.952434689648177e-05,-40.36248779296875
23,207,4773,696,,,112.12431335449219,-2.439959764480591,1772,0.8311825394630432,9.952154622717533e-05,-41.28819274902344
,,4800,,9.0,-5.936665099999999,81.12928771972656,-2.4818673133850098,1799,0.8289365768432617,9.951884565641327e-05,-40.95346450805664
23,204,4809,700,,,78.8350830078125,-2.49251651763916,1808,0.8281890153884888,9.95179454824441e-05,-39.19300842285156
23,203,4845,704,,,73.83384704589844,-2.5496644973754883,1844,0.8252065181732178,9.951434486798982e-05,-38.88444519042969
24,202,4881,708,,,113.95451354980469,-2.5837182998657227,1880,0.8222380876541138,9.951074438380775e-05,-40.093482971191406
,,4900,,8.2,-6.2200175,74.8424072265625,-2.612468719482422,1899,0.8206766247749329,9.950884418078663e-05,-37.85475540161133
24,200,4917,712,,,115.04956817626953,-2.6576671600341797,1916,0.8192809820175171,9.950714402989319e-05,-40.767791748046875
24,199,4953,716,,,99.7822265625,-2.6661605834960938,1952,0.8163371086120605,9.950354380624145e-05,-38.82463455200195
25,198,4981,720,,,92.226806640625,-2.723724365234375,1980,0.8140577077865601,9.950074372234531e-05,-41.44648742675781
,,5000,,7.4,-6.2103276,86.74038696289062,-2.7284979820251465,1999,0.8125134110450745,9.949884371029138e-05,-41.66386413574219
25,196,5009,724,,,73.64338684082031,-2.7690601348876953,2008,0.8117831945419312,9.949794371724504e-05,-39.672813415527344
25,195,5037,728,,,112.43116760253906,-2.7926530838012695,2036,0.8095124959945679,9.949514379093846e-05,-41.276275634765625
26,194,5073,732,,,122.89795684814453,-2.8537161350250244,2072,0.8066014051437378,9.949154400146201e-05,-40.41339874267578
,,5100,,8.2,-5.726936,76.29299926757812,-2.8905892372131348,2099,0.8044295310974121,9.94888442448265e-05,-39.762107849121094
26,192,5109,736,,,110.46757507324219,-2.906466007232666,2108,0.8037060499191284,9.948794434222794e-05,-39.935157775878906
26,191,5137,740,,,76.37675476074219,-2.929629325866699,2136,0.801458477973938,9.94851446973092e-05,-39.338623046875
27,190,5157,744,,,87.51345825195312,-2.958059310913086,2156,0.7998577356338501,9.948314499917363e-05,-40.2736701965332
27,188,5193,748,,,83.19380950927734,-2.997276544570923,2192,0.7969868183135986,9.947954564382011e-05,-38.53669357299805
,,5200,,9.0,-7.124337200000001,56.57551574707031,-3.0130228996276855,2199,0.7964297533035278,9.947884578429098e-05,-39.79295349121094
27,187,5229,752,,,79.85676574707031,-3.053097724914551,2228,0.794128954410553,9.947594641869328e-05,-38.73828125
28,186,5249,756,,,103.75926971435547,-3.0811774730682373,2248,0.7925447821617126,9.947394690544742e-05,-37.84694290161133
28,185,5285,760,,,78.61161804199219,-3.1433396339416504,2284,0.7896993160247803,9.947034788288605e-05,-38.697052001953125
,,5300,,9.0,-7.219887300000001,83.03086853027344,-3.1307296752929688,2299,0.7885169982910156,9.946884832858382e-05,-37.525115966796875
28,184,5313,764,,,95.21382141113281,-3.166486978530884,2312,0.787494421005249,9.946754873314126e-05,-38.64665603637695
29,183,5341,768,,,75.74447631835938,-3.1915786266326904,2340,0.7852983474731445,9.946474966216607e-05,-38.19733428955078
29,182,5377,772,,,85.99111938476562,-3.2482845783233643,2376,0.782482385635376,9.946115097236605e-05,-38.179908752441406
,,5400,,8.2,-5.816072699999999,94.78326416015625,-3.2813267707824707,2399,0.7806878685951233,9.945885187760404e-05,-38.54413986206055
29,181,5413,776,,,126.19098663330078,-3.273362159729004,2412,0.7796768546104431,9.945755241276864e-05,-38.46800231933594
30,180,5441,780,,,87.11137390136719,-3.340623617172241,2440,0.7775033712387085,9.945475362309534e-05,-38.043392181396484
30,180,5469,784,,,58.019989013671875,-3.373600959777832,2468,0.7753329277038574,9.945195491218152e-05,-36.85551071166992
30,179,5497,788,,,74.54936218261719,-3.4077117443084717,2496,0.77317214012146,9.944915628002493e-05,-37.53840637207031
,,5500,,9.0,-6.941753800000001,91.20832824707031,-3.4111521244049072,2499,0.7729408144950867,9.944885643125069e-05,-37.972503662109375
31,178,5533,792,,,78.21697235107422,-3.45442795753479,2532,0.7704020738601685,9.944555815440214e-05,-37.195159912109375
31,177,5569,796,,,56.331092834472656,-3.514195203781128,2568,0.7676436305046082,9.94419601589615e-05,-37.148929595947266
,,5600,,8.2,-5.554739700000001,80.91172790527344,-3.5475993156433105,2599,0.7652727365493774,9.943886198942278e-05,-36.271400451660156
31,176,5605,800,,,77.51942443847656,-3.566744089126587,2604,0.7648912072181702,9.943836229369836e-05,-37.033241271972656
32,175,5641,804,,,92.98645782470703,-3.610058069229126,2640,0.7621515393257141,9.943476455860798e-05,-35.887176513671875
32,174,5677,808,,,73.39769744873047,-3.6399083137512207,2676,0.7594238519668579,9.943116695368564e-05,-36.64537811279297
,,5700,,8.2,-5.139222500000001,85.44072723388672,-3.6655797958374023,2699,0.7576857805252075,9.942886855201937e-05,-36.988407135009766
32,173,5705,812,,,100.477294921875,-3.6770267486572266,2704,0.7573087215423584,9.942836890651353e-05,-36.720767974853516
33,173,5741,816,,,101.28366088867188,-3.72755765914917,2740,0.7545995712280273,9.942477153298942e-05,-37.3323860168457
33,172,5777,820,,,91.4721908569336,-3.788433074951172,2776,0.7518965601921082,9.942117428962029e-05,-36.740150451660156
,,5800,,8.2,-4.9548349,59.21150588989258,-3.8081231117248535,2799,0.7501741647720337,9.941887611893951e-05,-36.05855941772461
33,171,5813,824,,,93.19760131835938,-3.7779979705810547,2812,0.7492028474807739,9.941757717640143e-05,-35.57218933105469
34,170,5849,828,,,82.2681884765625,-3.862457036972046,2848,0.746521532535553,9.941398019332811e-05,-36.65529251098633
34,170,5885,832,,,77.08187103271484,-3.9017558097839355,2884,0.7438482642173767,9.941038334039561e-05,-36.387840270996094
,,5900,,7.4,-3.8523511,69.19059753417969,-3.942143440246582,2899,0.7427390813827515,9.940888469008225e-05,-34.53070068359375
34,169,5921,836,,,82.11669158935547,-3.987121343612671,2920,0.7411880493164062,9.940678661759928e-05,-33.527103424072266
35,168,5949,840,,,52.58916473388672,-4.006077289581299,2948,0.7391238212585449,9.94039892565031e-05,-35.965065002441406
35,168,5985,844,,,67.33199310302734,-4.057119369506836,2984,0.736478328704834,9.940039276504826e-05,-35.24085235595703
,,6000,,8.2,-6.5240715,83.65061950683594,-4.0816450119018555,2999,0.7353793978691101,9.939889426534672e-05,-35.24938201904297
35,167,6013,848,,,64.05793762207031,-4.088940620422363,3012,0.734426736831665,9.939759558387857e-05,-34.702415466308594
